pca1,pca2,label
0.6378572221976384,-0.1803780376217049,blues
-0.2640237191366835,-0.3882764668290572,blues
0.5588012760568896,-0.31732286155326217,blues
-0.1482737821420461,-0.34341693464704937,blues
-0.06501478042002838,-0.5419115514239947,blues
-0.4219105924677253,-0.25447320904624987,blues
-0.4339355735031162,-0.3015005436883188,blues
-0.4039050296362552,-0.4503489260690561,blues
0.5901764877672468,-0.12128180792639003,blues
-0.3831390809616342,-0.4674014706787646,blues
-0.3765636400742927,-0.3529287602212433,blues
-0.5145452314575927,-0.3933032970937777,blues
-0.26721038296313954,-0.546418915872415,blues
-0.12288372612694591,-0.5753271366092922,blues
-0.4902052180770646,-0.42922428147878167,blues
-0.41001542145720965,-0.5336951489179895,blues
-0.29025202841860626,-0.4722114965024592,blues
-0.37214439092387713,-0.5418989865982901,blues
-0.29485067754022326,-0.4128873183002357,blues
-0.3927146124372974,-0.5835785438409725,blues
0.10155302032986027,-0.561794243273468,blues
-0.43992394628958353,-0.5186582693846674,blues
-0.5206356328604086,-0.496749341736917,blues
-0.30085746611985986,-0.521056467647043,blues
-0.41244238706399566,-0.45250020238742694,blues
-0.44190441245722983,-0.44478599440976285,blues
-0.5688170985526768,-0.4223578922004204,blues
-0.3394576185286944,-0.4915757036137273,blues
-0.3466675428024558,-0.47904843323775764,blues
-0.2769680551533709,-0.41005411723504187,blues
-0.19555591521505725,-0.4021445233435676,blues
-0.20994615047472043,-0.5124264444768802,blues
-0.33811787866275345,-0.4011039701831616,blues
-0.23023361788762237,-0.4221318018912869,blues
-0.16188726626973596,-0.4807894580616636,blues
-0.005287148398881743,-0.3321386474268798,blues
-0.11519291336341736,-0.43474688124839983,blues
-0.4837294923433411,-0.6083736807350659,blues
-0.08560775477270392,-0.35036566838034516,blues
-0.41007776128748485,-0.5410218334429437,blues
0.6751818296833615,0.009159563280784867,blues
0.6045673670251345,0.019141350668631516,blues
0.38002170251018286,-0.10445437606747525,blues
0.6482427895464415,-0.031156314724031825,blues
0.5407065861633256,-0.07903056586661937,blues
0.5134311848362708,-0.012232266267689498,blues
0.46160029926730156,-0.04171977659482689,blues
0.5330706736512961,-0.0844105966465759,blues
0.674976486830783,-0.10692932821375062,blues
0.05217983404619759,-0.41528515887513767,blues
0.7392510075254387,0.057854352468208886,blues
0.7204587260017898,-0.056737979575514706,blues
-0.37155095187387976,-0.3397634089966572,blues
0.4771330565748299,0.009369641617852595,blues
0.7079503391815867,0.11981323449066754,blues
0.5783290220989704,0.04783342842042823,blues
0.08916397577083272,-0.28345380466955733,blues
0.3394981145254242,-0.11016432310358763,blues
0.5126726680988142,-0.1608235647302528,blues
0.6885538702539753,0.18578266963506915,blues
0.7390606152168364,0.08947806780868198,blues
0.7436086931901689,0.024389158036951297,blues
0.18571453214255448,-0.3513521305515475,blues
0.5727225667882806,-0.08374453497245084,blues
0.7971775812389331,0.024662656128508504,blues
0.5893675975541024,-0.1611402164306393,blues
0.5826454548987642,-0.20981162083559277,blues
0.6160445216277697,-0.180951713402749,blues
0.716424199894918,-0.0751447389662991,blues
0.4641325222415236,-0.30642952109169885,blues
0.46571430786320295,-0.37667375706417133,blues
0.8211894735715317,0.007846504083776372,blues
0.6900669528724301,-0.013339540456492084,blues
0.6167729508341537,0.19396170431973656,blues
0.6350775627031097,0.18666517010874564,blues
0.3511807797054794,0.1744587605354795,blues
0.4240312663037281,0.142024649575411,blues
0.7381935570236609,0.22332499450847626,blues
0.7938621165349808,0.2191239456354872,blues
0.7655322214027073,0.2663182077645421,blues
0.40994092223296513,-0.03192197398029237,blues
0.7092747141857687,0.0956710345086171,blues
0.6273108397884614,-0.011581492480501509,blues
0.7809468542172906,0.2928621407480019,blues
0.6588084296359699,0.1540627749275812,blues
-0.3810036187732418,-0.5128512121050672,blues
-0.5046492910602776,-0.4265837303116851,blues
-0.24773560214413165,-0.48493588130015,blues
0.017718597993619356,-0.4110768865208433,blues
-0.48498369223725507,-0.4629989099169512,blues
-0.39701760039306067,-0.39225466620829363,blues
-0.2195562125614497,-0.44246692912801955,blues
-0.5277350586986977,-0.43430108271459,blues
-0.15532855767043835,-0.3176703490785658,blues
-0.43929449804941134,-0.38494111684018356,blues
-0.08993902200538399,-0.43144102703598064,blues
-0.3857904344503407,-0.6523828685822389,blues
-0.15558425140167156,-0.3733244507723463,blues
0.8326484981122435,0.04753185325781801,blues
-0.09863910506477294,-0.43686598906722557,blues
-0.07087642439258207,-0.6108739612239549,classical
-0.23126297842856255,-0.6343806486897049,classical
0.3420995006383538,-0.5873169557673416,classical
-0.2799937066738344,-0.5685661567501203,classical
0.022473941655630183,-0.6025072610962744,classical
0.058388691556448526,-0.6664731013468428,classical
-0.009284049749129499,-0.6596044514917478,classical
-0.17444983977659081,-0.5778215246131198,classical
-0.1230836988409132,-0.6492170000121753,classical
0.03162274078153475,-0.6112296623845588,classical
-0.22204671556776806,-0.6706624654283074,classical
-0.16941764416583047,-0.590127668656033,classical
-0.35882413780570416,-0.5825846799641797,classical
-0.3805301291101793,-0.6748464802656825,classical
-0.2168536720556576,-0.6803065080307722,classical
-0.37687837784881506,-0.49070487546180036,classical
-0.11771758538755193,-0.6765790618095265,classical
-0.30610712789102074,-0.6357135086877963,classical
-0.46366195445080327,-0.5952572727792664,classical
-0.37619221565390987,-0.6059414322153486,classical
-0.19778190002670862,-0.778799964623885,classical
-0.19979382299564025,-0.6488854016099869,classical
-0.020456693097521874,-0.6746010072191401,classical
-0.060512727118322035,-0.610948748197892,classical
0.15211892504875069,-0.6333700289835372,classical
0.24825544235150374,-0.533464107211208,classical
-0.36237092004694355,-0.6337528810535583,classical
-0.00937725955585085,-0.7253755226489667,classical
-0.12495755538179953,-0.6902346576988736,classical
-0.3378145694968969,-0.5984103859341984,classical
-0.07901125504007872,-0.6542494474325171,classical
-0.24972824970158652,-0.6590120593807879,classical
0.059787942326277356,-0.48622333432883125,classical
